id,status,utilization,remarks
1,"Fully Functional","No Utilization","brand new, never used but installed; Manufacturer service hotline 866-885-9794; service@binder-world.com"
2,"Fully Functional","Very Low","user not trained"
3,"Fully Functional",Normal,"Installed Jan 2012"
4,"Fully Functional",Normal,"Installed Jan 2012"
5,"Fully Functional","No Utilization","user not trained"
6,"Fully Functional","No Utilization","user not trained; not being used; installed Jan 2012; no user manual"
7,"Fully Functional","No Utilization","user not trained; all parts available; brand new in package; english user manual available"
8,"Fully Functional","No Utilization","user not trained; all parts available; brand new in package; english user manual available"
9,"Fully Functional",Normal,"install Jan 2012"
10,"Needs Minor Repair","No Utilization","filter needs to be changed"
11,"Needs Minor Repair","No Utilization","power cord missing"
12,"Fully Functional","No Utilization","not needed right now; not being used; installed Jan 2012"
13,"Fully Functional","No Utilization","Installed Jan 2012"
14,"Fully Functional",Normal,NULL
15,"Fully Functional",Normal,NULL
16,"Fully Functional",Normal,NULL
17,"Needs Minor Repair","No Utilization","Missing power cord; Possibly other unknown problems"
18,"Needs Major Repair","No Utilization",NULL
19,"Needs Major Repair","No Utilization","very old, not sure if it works"
20,"Needs Major Repair","No Utilization",NULL
21,"Fully Functional",Normal,NULL
22,"Fully Functional",Normal,NULL
23,"Fully Functional",Normal,NULL
24,"Fully Functional",Normal,"Installed June 15th 2006"
25,"Fully Functional",Normal,"Installed 27 March 2004"
26,"Fully Functional",Normal,"Installed 6 Jan 2009"
27,"Fully Functional",Normal,"Installed 12 Nov 2007"
28,"Not Functional","No Utilization","currently being repaired (fuse box); installed 27 March 2007"
29,"Fully Functional",Normal,"Date est told 27th of March 2007"
30,"Not Functional","No Utilization","unknown electrical issus"
31,"Not Functional","No Utilization","Electrical problem"
32,"Fully Functional","No Utilization","not used because xray is broken"
33,"Needs Major Repair","No Utilization","very old filament possibly damaged; spare parts no longer available . Need fluoroscopic machine with image intensifier"
34,"Fully Functional","No Utilization","not used because xray is broken"
35,"Fully Functional",Normal,NULL
36,"Fully Functional",Normal,NULL
37,"Needs Major Repair",Normal,"Rinsing and washing tank used together (not recommended) Needs Digital"
38,"Needs Major Repair",Normal,NULL
