asset	status	utilization	remarks
P-CC1	Fully Functional	No Utilization	brand new, never used but installed; Manufacturer service hotline 866-885-9794; service@binder-world.com
P-CC2	Fully Functional	Very Low	user not trained
P-CC3	Fully Functional	Normal	Installed Jan 2012
P-CC4	Fully Functional	Normal	Installed Jan 2012
P-CC5	Fully Functional	No Utilization	user not trained
P-CC6	Fully Functional	No Utilization	user not trained; not being used; installed Jan 2012; no user manual
P-CC7	Fully Functional	No Utilization	user not trained; all parts available; brand new in package; english user manual available
P-CC8	Fully Functional	No Utilization	user not trained; all parts available; brand new in package; english user manual available
P-CC9	Fully Functional	Normal	install Jan 2012
P-CC10	Needs Minor Repair	No Utilization	filter needs to be changed
P-CC11	Needs Minor Repair	No Utilization	power cord missing
P-CC12	Fully Functional	No Utilization	not needed right now; not being used; installed Jan 2012
P-CC13	Fully Functional	No Utilization	Installed Jan 2012
P-CC14	Fully Functional	Normal	NULL
P-CC15	Fully Functional	Normal	NULL
P-CC16	Fully Functional	Normal	NULL
P-CC17	Needs Minor Repair	No Utilization	Missing power cord; Possibly other unknown problems
P-CC18	Needs Major Repair	No Utilization	NULL
P-CC19	Needs Major Repair	No Utilization	very old, not sure if it works
P-CC20	Needs Major Repair	No Utilization	NULL
P-CC21	Fully Functional	Normal	NULL
P-CC22	Fully Functional	Normal	NULL
P-CC23	Fully Functional	Normal	NULL
P-CC24	Fully Functional	Normal	Installed June 15th 2006
P-CC25	Fully Functional	Normal	Installed 27 March 2004
P-CC26	Fully Functional	Normal	Installed 6 Jan 2009
P-CC27	Fully Functional	Normal	Installed 12 Nov 2007
P-CC28	Not Functional	No Utilization	currently being repaired (fuse box); installed 27 March 2007
P-CC29	Fully Functional	Normal	Date est told 27th of March 2007
P-CC30	Not Functional	No Utilization	unknown electrical issus
P-CC31	Not Functional	No Utilization	Electrical problem
P-CC32	Fully Functional	No Utilization	not used because xray is broken
P-CC33	Needs Major Repair	No Utilization	very old filament possibly damaged; spare parts no longer available . Need fluoroscopic machine with image intensifier
P-CC34	Fully Functional	No Utilization	not used because xray is broken
P-CC35	Fully Functional	Normal	NULL
P-CC36	Fully Functional	Normal	NULL
P-CC37	Needs Major Repair	Normal	Rinsing and washing tank used together (not recommended) Needs Digital
P-CC38	Needs Major Repair	Normal	NULL
P-CC39	Fully Functional	Normal	NULL
P-CC40	Fully Functional	Very Low	the older of 2 ultrasounds
P-CC41	Fully Functional	Very Low	the older of 2 ultrasounds
P-CC42	Fully Functional	Normal	NULL
P-CC43	Fully Functional	Normal	NULL
P-CC44	Not Functional	No Utilization	screen does not light up
P-CC45	Not Functional	No Utilization	never used, needs halothane vaporizer; gas and air lines do not match tanks and compressor
P-CC46	Fully Functional	Normal	NULL
P-CC47	Fully Functional	Normal	not connected to anything
P-CC48	Not Functional	No Utilization	unknown problem, never been used
P-CC49	Fully Functional	Very High	NULL
P-CC50	Fully Functional	Normal	NULL
P-CC51	Fully Functional	Normal	NULL
P-CC52	Fully Functional	Normal	NULL
P-CC53	Fully Functional	Very Low	no problem
P-CC54	Fully Functional	Normal	NULL
P-CC55	Fully Functional	Very High	hooked up to #51 anesthesia machine
P-CC56	Fully Functional	Very High	only suction machine in main theater
P-CC57	Fully Functional	Normal	NULL
P-CC58	Not Functional	No Utilization	some parts broken
P-CC59	Fully Functional	Very High	NULL
P-CC60	Not Functional	No Utilization	it needs repair
P-CC61	Fully Functional	Very High	no problem
P-CC62	Fully Functional	No Utilization	not installed
P-CC63	Not Functional	No Utilization	needs repair
P-CC64	Not Functional	No Utilization	unknown electrical issue
P-CC65	Not Functional	No Utilization	broken
P-CC66	Fully Functional	Normal	NULL
P-CC67	Fully Functional	Normal	NULL
P-CC68	Needs Major Repair	Normal	spare parts not available
P-CC69	Needs Major Repair	Very High	NULL
P-CC70	Fully Functional	Very High	NULL
P-CC71	Not Functional	No Utilization	NULL
P-CC72	Fully Functional	Normal	NULL
P-CC73	Fully Functional	Normal	NULL
P-CC74	Not Functional	No Utilization	atesting no be not working
P-CC75	Not Functional	No Utilization	NULL
P-CC76	Not Functional	No Utilization	NULL
P-CC77	Fully Functional	Normal	NULL
P-CC78	Fully Functional	Normal	NULL
P-CC79	Fully Functional	Normal	NULL
P-CC80	Needs Minor Repair	Normal	NULL
P-CC81	Fully Functional	Very High	NULL
P-CC82	Fully Functional	Normal	NULL
P-CC83	Needs Minor Repair	Very Low	not calibrated; in the wrong department
P-CC84	Fully Functional	Normal	NULL
P-CC85	Not Functional	No Utilization	NULL
P-CC86	Needs Major Repair	Very High	NULL
P-CC87	Needs Major Repair	Normal	NULL
P-CC88	Not Functional	No Utilization	wrong light for dental clinic. Wrong parts, no bulb, using flashlight instead
P-CC89	Fully Functional	No Utilization	no need for Ward Bed in department; used as a desk for dentist
P-CC90	Needs Minor Repair	Normal	NULL
P-CC91	Fully Functional	Normal	NULL
P-CC92	Needs Minor Repair	Normal	Broken bulb
P-CC93	Fully Functional	Normal	NULL
P-CC94	Fully Functional	Normal	NULL
P-CC95	Fully Functional	Normal	NULL
P-CC96	Fully Functional	Normal	NULL
P-CC97	Fully Functional	Normal	NULL
P-CC98	Fully Functional	Normal	NULL
P-CC99	Fully Functional	Normal	NULL
P-CC100	Fully Functional	Normal	NULL
P-CC101	Fully Functional	Normal	NULL
P-CC102	Not Functional	No Utilization	NULL
P-CC103	Fully Functional	Normal	NULL
P-CC104	Fully Functional	No Utilization	used as desk, patients not seen in room
P-CC105	Fully Functional	Normal	NULL
P-CC106	Fully Functional	Normal	NULL
P-CC107	Fully Functional	Normal	NULL
P-CC108	Not Functional	No Utilization	NULL
P-CC109	Not Functional	No Utilization	broken
P-CC110	Fully Functional	Normal	NULL
P-CC111	Fully Functional	Normal	NULL
P-CC112	Needs Minor Repair	Very High	NULL
P-CC113	Needs Minor Repair	Very High	NULL
P-CC114	Fully Functional	Very Low	NULL
P-CC115	Not Functional	No Utilization	NULL
P-CC116	Fully Functional	Normal	NULL
P-CC117	Not Functional	No Utilization	NULL
P-CC118	Needs Major Repair	Very Low	NULL
P-CC119	Fully Functional	No Utilization	sitting idle in main corridor
P-CC120	Not Functional	No Utilization	NULL
P-CC121	Fully Functional	Normal	NULL
P-CC122	Fully Functional	Normal	NULL
P-CC123	Fully Functional	Normal	NULL
P-CC124	Fully Functional	Normal	NULL
P-CC125	Fully Functional	Normal	NULL
P-CC126	Fully Functional	Normal	NULL
P-CC127	Fully Functional	Normal	NULL
P-CC128	Fully Functional	Normal	NULL
P-CC129	Fully Functional	Very High	NULL
P-CC130	Not Functional	No Utilization	NULL
P-CC131	Not Functional	No Utilization	NULL
P-CC132	Fully Functional	Normal	NULL
P-CC133	Fully Functional	Very Low	NULL
P-CC134	Not Functional	No Utilization	NULL
P-CC135	Fully Functional	Very High	NULL
P-CC136	Not Functional	No Utilization	NULL
P-CC137	Needs Major Repair	No Utilization	 
P-CC138	Fully Functional	Very High	NULL
P-CC139	Not Functional	No Utilization	NULL
P-CC140	Fully Functional	Normal	NULL
P-CC141	Fully Functional	No Utilization	NULL
P-CC142	Not Functional	No Utilization	NULL
P-CC143	Needs Major Repair	Very Low	NULL
P-CC144	Fully Functional	Normal	NULL
P-CC145	Not Functional	No Utilization	NULL
P-CC146	Fully Functional	Normal	NULL
