asset_id,status,utilization,remarks
P-CC001,"Fully Functional","No Utilization","brand new, never used but installed; Manufacturer service hotline 866-885-9794; service@binder-world.com"
P-CC002,"Fully Functional","Very Low","user not trained"
P-CC003,"Fully Functional",Normal,"Installed Jan 2012"
P-CC004,"Fully Functional",Normal,"Installed Jan 2012"
P-CC005,"Fully Functional","No Utilization","user not trained"
P-CC006,"Fully Functional","No Utilization","user not trained; not being used; installed Jan 2012; no user manual"
P-CC007,"Fully Functional","No Utilization","user not trained; all parts available; brand new in package; english user manual available"
P-CC008,"Fully Functional","No Utilization","user not trained; all parts available; brand new in package; english user manual available"
P-CC009,"Fully Functional",Normal,"install Jan 2012"
P-CC010,"Needs Minor Repair","No Utilization","filter needs to be changed"
P-CC011,"Needs Minor Repair","No Utilization","power cord missing"
P-CC012,"Fully Functional","No Utilization","not needed right now; not being used; installed Jan 2012"
P-CC013,"Fully Functional","No Utilization","Installed Jan 2012"
P-CC014,"Fully Functional",Normal,NULL
P-CC015,"Fully Functional",Normal,NULL
P-CC016,"Fully Functional",Normal,NULL
P-CC017,"Needs Minor Repair","No Utilization","Missing power cord; Possibly other unknown problems"
P-CC018,"Needs Major Repair","No Utilization",NULL
P-CC019,"Needs Major Repair","No Utilization","very old, not sure if it works"
P-CC020,"Needs Major Repair","No Utilization",NULL
P-CC021,"Fully Functional",Normal,NULL
P-CC022,"Fully Functional",Normal,NULL
P-CC023,"Fully Functional",Normal,NULL
P-CC024,"Fully Functional",Normal,"Installed June 15th 2006"
P-CC025,"Fully Functional",Normal,"Installed 27 March 2004"
P-CC026,"Fully Functional",Normal,"Installed 6 Jan 2009"
P-CC027,"Fully Functional",Normal,"Installed 12 Nov 2007"
P-CC028,"Not Functional","No Utilization","currently being repaired (fuse box); installed 27 March 2007"
P-CC029,"Fully Functional",Normal,"Date est told 27th of March 2007"
P-CC030,"Not Functional","No Utilization","unknown electrical issus"
P-CC031,"Not Functional","No Utilization","Electrical problem"
P-CC032,"Fully Functional","No Utilization","not used because xray is broken"
P-CC033,"Needs Major Repair","No Utilization","very old filament possibly damaged; spare parts no longer available . Need fluoroscopic machine with image intensifier"
P-CC034,"Fully Functional","No Utilization","not used because xray is broken"
P-CC035,"Fully Functional",Normal,NULL
P-CC036,"Fully Functional",Normal,NULL
P-CC037,"Needs Major Repair",Normal,"Rinsing and washing tank used together (not recommended) Needs Digital"
P-CC038,"Needs Major Repair",Normal,NULL
P-CC039,"Fully Functional",Normal,NULL
P-CC040,"Fully Functional","Very Low","the older of 2 ultrasounds"
P-CC041,"Fully Functional","Very Low","the older of 2 ultrasounds"
P-CC042,"Fully Functional",Normal,NULL
P-CC043,"Fully Functional",Normal,NULL
P-CC044,"Not Functional","No Utilization","screen does not light up"
P-CC045,"Not Functional","No Utilization","never used, needs halothane vaporizer; gas and air lines do not match tanks and compressor"
P-CC046,"Fully Functional",Normal,NULL
P-CC047,"Fully Functional",Normal,"not connected to anything"
P-CC048,"Not Functional","No Utilization","unknown problem, never been used"
P-CC049,"Fully Functional","Very High",NULL
P-CC050,"Fully Functional",Normal,NULL
P-CC051,"Fully Functional",Normal,NULL
P-CC052,"Fully Functional",Normal,NULL
P-CC053,"Fully Functional","Very Low","no problem"
P-CC054,"Fully Functional",Normal,NULL
P-CC055,"Fully Functional","Very High","hooked up to #51 anesthesia machine"
P-CC056,"Fully Functional","Very High","only suction machine in main theater"
P-CC057,"Fully Functional",Normal,NULL
P-CC058,"Not Functional","No Utilization","some parts broken"
P-CC059,"Fully Functional","Very High",NULL
P-CC060,"Not Functional","No Utilization","it needs repair"
P-CC061,"Fully Functional","Very High","no problem"
P-CC062,"Fully Functional","No Utilization","not installed"
P-CC063,"Not Functional","No Utilization","needs repair"
P-CC064,"Not Functional","No Utilization","unknown electrical issue"
P-CC065,"Not Functional","No Utilization",broken
P-CC066,"Fully Functional",Normal,NULL
P-CC067,"Fully Functional",Normal,NULL
P-CC068,"Needs Major Repair",Normal,"spare parts not available"
P-CC069,"Needs Major Repair","Very High",NULL
P-CC070,"Fully Functional","Very High",NULL
P-CC071,"Not Functional","No Utilization",NULL
P-CC072,"Fully Functional",Normal,NULL
P-CC073,"Fully Functional",Normal,NULL
P-CC074,"Not Functional","No Utilization","atesting no be not working"
P-CC075,"Not Functional","No Utilization",NULL
P-CC076,"Not Functional","No Utilization",NULL
P-CC077,"Fully Functional",Normal,NULL
P-CC078,"Fully Functional",Normal,NULL
P-CC079,"Fully Functional",Normal,NULL
P-CC080,"Needs Minor Repair",Normal,NULL
P-CC081,"Fully Functional","Very High",NULL
P-CC082,"Fully Functional",Normal,NULL
P-CC083,"Needs Minor Repair","Very Low","not calibrated; in the wrong department"
P-CC084,"Fully Functional",Normal,NULL
P-CC085,"Not Functional","No Utilization",NULL
P-CC086,"Needs Major Repair","Very High",NULL
P-CC087,"Needs Major Repair",Normal,NULL
P-CC088,"Not Functional","No Utilization","wrong light for dental clinic. Wrong parts, no bulb, using flashlight instead"
P-CC089,"Fully Functional","No Utilization","no need for Ward Bed in department; used as a desk for dentist"
P-CC090,"Needs Minor Repair",Normal,NULL
P-CC091,"Fully Functional",Normal,NULL
P-CC092,"Needs Minor Repair",Normal,"Broken bulb"
P-CC093,"Fully Functional",Normal,NULL
P-CC094,"Fully Functional",Normal,NULL
P-CC095,"Fully Functional",Normal,NULL
P-CC096,"Fully Functional",Normal,NULL
P-CC097,"Fully Functional",Normal,NULL
P-CC098,"Fully Functional",Normal,NULL
P-CC099,"Fully Functional",Normal,NULL
P-CC100,"Fully Functional",Normal,NULL
P-CC101,"Fully Functional",Normal,NULL
P-CC102,"Not Functional","No Utilization",NULL
P-CC103,"Fully Functional",Normal,NULL
P-CC104,"Fully Functional","No Utilization","used as desk, patients not seen in room"
P-CC105,"Fully Functional",Normal,NULL
P-CC106,"Fully Functional",Normal,NULL
P-CC107,"Fully Functional",Normal,NULL
P-CC108,"Not Functional","No Utilization",NULL
P-CC109,"Not Functional","No Utilization",broken
P-CC110,"Fully Functional",Normal,NULL
P-CC111,"Fully Functional",Normal,NULL
P-CC112,"Needs Minor Repair","Very High",NULL
P-CC113,"Needs Minor Repair","Very High",NULL
P-CC114,"Fully Functional","Very Low",NULL
P-CC115,"Not Functional","No Utilization",NULL
P-CC116,"Fully Functional",Normal,NULL
P-CC117,"Not Functional","No Utilization",NULL
P-CC118,"Needs Major Repair","Very Low",NULL
P-CC119,"Fully Functional","No Utilization","sitting idle in main corridor"
P-CC120,"Not Functional","No Utilization",NULL
P-CC121,"Fully Functional",Normal,NULL
P-CC122,"Fully Functional",Normal,NULL
P-CC123,"Fully Functional",Normal,NULL
P-CC124,"Fully Functional",Normal,NULL
P-CC125,"Fully Functional",Normal,NULL
P-CC126,"Fully Functional",Normal,NULL
P-CC127,"Fully Functional",Normal,NULL
P-CC128,"Fully Functional",Normal,NULL
P-CC129,"Fully Functional","Very High",NULL
P-CC130,"Not Functional","No Utilization",NULL
P-CC131,"Not Functional","No Utilization",NULL
P-CC132,"Fully Functional",Normal,NULL
P-CC133,"Fully Functional","Very Low",NULL
P-CC134,"Not Functional","No Utilization",NULL
P-CC135,"Fully Functional","Very High",NULL
P-CC136,"Not Functional","No Utilization",NULL
P-CC137,"Needs Major Repair","No Utilization"," "
P-CC138,"Fully Functional","Very High",NULL
P-CC139,"Not Functional","No Utilization",NULL
P-CC140,"Fully Functional",Normal,NULL
P-CC141,"Fully Functional","No Utilization",NULL
P-CC142,"Not Functional","No Utilization",NULL
P-CC143,"Needs Major Repair","Very Low",NULL
P-CC144,"Fully Functional",Normal,NULL
P-CC145,"Not Functional","No Utilization",NULL
P-CC146,"Fully Functional",Normal,NULL
P-CC147,"Not Functional","No Utilization",NULL
P-CC148,"Fully Functional",Normal,NULL
P-CC149,"Fully Functional",Normal,NULL
P-CC150,"Fully Functional",Normal,NULL
P-CC151,"Not Functional","No Utilization",NULL
P-CC152,"Not Functional","No Utilization",NULL
P-CC153,"Not Functional","No Utilization",NULL
P-CC154,"Needs Minor Repair","No Utilization",NULL
P-CC155,"Fully Functional","No Utilization",NULL
P-CC156,"Needs Minor Repair","No Utilization","needs electrode"
P-CC157,"Fully Functional",Normal,NULL
P-CC158,"Fully Functional",Normal,NULL
P-CC159,"Not Functional","No Utilization",NULL
P-CC160,"Fully Functional","No Utilization","Not installed"
P-CC161,"Not Functional","No Utilization",NULL
P-CC162,"Fully Functional",Normal,NULL
P-CC163,"Fully Functional",Normal,NULL
P-CC164,"Needs Minor Repair","No Utilization",NULL
P-CC165,"Not Functional","No Utilization",NULL
P-CC166,"Fully Functional",Normal,NULL
P-CC167,"Fully Functional",Normal,NULL
P-CC168,"Fully Functional",Normal,NULL
P-CC169,"Fully Functional",Normal,NULL
P-CC170,"Fully Functional",Normal,NULL
P-CC171,"Fully Functional",Normal,NULL
P-CC172,"Fully Functional",Normal,NULL
P-CC173,"Fully Functional",Normal,NULL
P-CC174,"Fully Functional",Normal,NULL
P-CC175,"Fully Functional",Normal,NULL
P-CC176,"Fully Functional",Normal,NULL
P-CC177,"Fully Functional",Normal,NULL
P-CC178,"Fully Functional",Normal,NULL
P-CC179,"Fully Functional",Normal,NULL
P-CC180,"Fully Functional",Normal,NULL
P-CC181,"Fully Functional",Normal,NULL
P-CC182,"Fully Functional",Normal,NULL
P-CC183,"Fully Functional",Normal,NULL
P-CC184,"Fully Functional",Normal,NULL
P-CC185,"Fully Functional",Normal,NULL
P-CC186,"Fully Functional",Normal,NULL
P-CC187,"Fully Functional",Normal,NULL
P-CC188,"Fully Functional",Normal,NULL
P-CC189,"Fully Functional",Normal,NULL
P-CC190,"Fully Functional",Normal,NULL
P-CC191,"Fully Functional",Normal,NULL
P-CC192,"Needs Minor Repair","Very Low",NULL
P-CC193,"Fully Functional",Normal,NULL
P-CC194,"Fully Functional",Normal,NULL
P-CC195,"Fully Functional",Normal,NULL
P-CC196,"Fully Functional",Normal,NULL
P-CC197,"Fully Functional",Normal,NULL
P-CC198,"Fully Functional",Normal,NULL
P-CC199,"Needs Major Repair",Normal,NULL
P-CC200,"Fully Functional",Normal,NULL
P-CC201,"Fully Functional",Normal,NULL
P-CC202,"Fully Functional",Normal,NULL
P-CC203,"Fully Functional",Normal,NULL
P-CC204,"Fully Functional",Normal,NULL
P-CC205,"Fully Functional",Normal,NULL
P-CC206,"Fully Functional",Normal,NULL
P-CC207,"Fully Functional",Normal,NULL
P-CC208,"Fully Functional",Normal,NULL
P-CC209,"Fully Functional",Normal,NULL
P-CC210,"Fully Functional",Normal,NULL
P-CC211,"Fully Functional",Normal,NULL
P-CC212,"Fully Functional",Normal,NULL
P-CC213,"Fully Functional",Normal,NULL
P-CC214,"Fully Functional",Normal,NULL
P-CC215,"Fully Functional",Normal,NULL
P-CC216,"Fully Functional",Normal,NULL
P-CC217,"Fully Functional",Normal,NULL
P-CC218,"Fully Functional",Normal,NULL
P-CC219,"Fully Functional",Normal,NULL
P-CC220,"Fully Functional",Normal,NULL
P-CC221,"Fully Functional",Normal,NULL
P-CC222,"Fully Functional",Normal,NULL
P-CC223,"Fully Functional",Normal,NULL
P-CC224,"Fully Functional",Normal,"user entry error?"
P-CC225,"Fully Functional",Normal,NULL
P-CC226,"Fully Functional",Normal,NULL
P-CC227,"Fully Functional",Normal,NULL
P-CC228,"Fully Functional",Normal,NULL
P-CC229,"Fully Functional",Normal,NULL
P-CC230,"Fully Functional",Normal,NULL
P-CC231,"Fully Functional",Normal,"user entry error?"
P-CC232,"Fully Functional",Normal,"user entry error?"
P-CC233,"Fully Functional",Normal,"user entry error?"
P-CC234,"Fully Functional",Normal,"user entry error?"
P-CC235,"Needs Minor Repair",Normal,"user entry error?"
P-CC236,"Fully Functional",Normal,"user entry error?"
P-CC237,"Needs Minor Repair",Normal,"user entry error?"
P-CC238,"Fully Functional",Normal,"user entry error?"
P-CC239,"Needs Minor Repair",Normal,"user entry error?"
P-CC240,"Needs Minor Repair",Normal,"user entry error?"
P-CC241,"Fully Functional",Normal,"user entry error?"
P-CC242,"Fully Functional",Normal,"user entry error?"
P-CC243,"Fully Functional",Normal,"user entry error?"
P-CC244,"Fully Functional",Normal,"user entry error?"
P-CC245,"Fully Functional",Normal,NULL
P-CC246,"Needs Major Repair","Very Low",NULL
P-CC247,"Not Functional","No Utilization",NULL
P-CC248,"Fully Functional",Normal,NULL
P-CC249,"Needs Minor Repair","Very High","user entry error?"
P-CC250,"Needs Minor Repair","Very High","user entry error?"
P-CC251,"Needs Minor Repair","Very High","user entry error?"
P-CC252,"Needs Minor Repair","Very High","user entry error?"
P-CC253,"Needs Minor Repair","Very High","user entry error?"
P-CC254,"Needs Minor Repair","Very High","user entry error?"
P-CC255,"Needs Minor Repair","Very High","user entry error?"
P-CC256,"Needs Minor Repair","Very High","user entry error?"
P-CC257,"Fully Functional",Normal,"user entry error?"
P-CC258,"Fully Functional",Normal,"user entry error?"
P-CC259,"Fully Functional",Normal,"user entry error?"
P-CC260,"Fully Functional",Normal,"user entry error?"
P-CC261,"Fully Functional",Normal,"user entry error?"
P-CC262,"Fully Functional",Normal,"user entry error?"
P-CC263,"Fully Functional",Normal,"user entry error?"
P-CC264,"Fully Functional",Normal,"user entry error?"
P-CC265,"Fully Functional",Normal,"user entry error?"
P-CC266,"Fully Functional",Normal,"user entry error?"
P-CC267,"Fully Functional",Normal,"user entry error?"
P-CC268,"Needs Minor Repair","Very High",NULL
P-CC269,"Fully Functional",Normal,NULL
P-CC270,"Fully Functional",Normal,NULL
P-CC271,"Fully Functional",Normal,NULL
P-CC272,"Needs Major Repair","No Utilization",NULL
P-CC273,"Needs Major Repair","Very High",NULL
P-CC274,"Fully Functional",Normal,"user entry error?"
P-CC275,"Fully Functional",Normal,"user entry error?"
P-CC276,"Fully Functional",Normal,NULL
P-CC277,"Fully Functional",Normal,"user entry error?"
P-CC278,"Fully Functional",Normal,"user entry error?"
P-CC279,"Needs Minor Repair","Very High","user entry error?"
P-CC280,"Needs Minor Repair","Very High","user entry error?"
P-CC281,"Fully Functional",Normal,"user entry error?"
P-CC282,"Not Functional","No Utilization",NULL
P-CC283,"Not Functional","No Utilization",NULL
P-CC284,"Fully Functional",Normal,"user entry error?"
P-CC285,"Fully Functional",Normal,"user entry error?"
P-CC286,"Fully Functional",Normal,NULL
P-CC287,"Fully Functional",Normal,NULL
P-CC288,"Fully Functional",Normal,NULL
P-CC289,"Needs Major Repair","Very High",NULL
P-CC290,"Fully Functional",Normal,NULL
P-CC291,"Not Functional","No Utilization",NULL
P-CC292,"Fully Functional",Normal,NULL
P-CC293,"Not Functional","No Utilization",NULL
P-CC294,"Fully Functional",Normal,NULL
P-CC295,"Not Functional","No Utilization",NULL
P-CC296,"Fully Functional",Normal,NULL
P-CC297,"Fully Functional",Normal,NULL
P-CC298,"Not Functional",Normal,NULL
P-CC299,"Not Functional","No Utilization",NULL
P-CC300,"Not Functional","No Utilization",NULL
P-CC301,"Not Functional","No Utilization",NULL
P-CC302,"Not Functional","No Utilization",NULL
P-CC303,"Not Functional","No Utilization",NULL
P-CC304,"Not Functional","No Utilization",NULL
P-CC305,"Not Functional","No Utilization",NULL
P-CC306,"Fully Functional","No Utilization",NULL
P-CC307,"Not Functional","No Utilization",NULL
P-CC308,"Fully Functional","No Utilization",NULL
P-CC309,"Not Functional","No Utilization","needs new bulb"
P-CC310,"Not Functional","No Utilization",irreparable
P-CC311,"Not Functional","No Utilization",NULL
P-CC312,"Fully Functional","No Utilization",NULL
P-CC313,"Fully Functional","No Utilization",NULL
P-CC314,"Fully Functional","No Utilization",NULL
P-CC315,"Not Functional","No Utilization",NULL
P-CC316,"Needs Minor Repair","Very High","user entry error?"
P-CC317,"Needs Minor Repair","Very High","user entry error?"
P-CC318,"Fully Functional",Normal,NULL
P-CC319,"Fully Functional",Normal,NULL
P-PHL001,"Fully Functional",Normal,NULL
P-PHL002,"Fully Functional",Normal,NULL
P-PHL003,"Needs Minor Repair",Normal,"gas down"
P-PHL004,"Fully Functional",Normal,NULL
P-PHL005,"Fully Functional",Normal,NULL
P-PHL006,"Fully Functional",Normal,NULL
P-PHL007,"Fully Functional",Normal,NULL
P-PHL008,"Not Functional","No Utilization","timer defective"
P-PHL009,"Fully Functional",Normal,NULL
P-PHL010,"Fully Functional","No Utilization","occasional electrical errors"
P-PHL011,"Fully Functional",Normal,NULL
P-PHL012,"Fully Functional","No Utilization","not needed"
P-PHL013,"Fully Functional","No Utilization","not needed"
P-PHL014,"Fully Functional","No Utilization","not needed"
P-PHL015,"Fully Functional",Normal,NULL
P-PHL016,"Fully Functional",Normal,NULL
P-PHL017,"Not Functional","No Utilization","power cord cut and frayed"
P-PHL018,"Fully Functional",Normal,NULL
