asset_id,model,serial_number,year_manufactured,funding,date_received,warranty_expiry,contract_expiry,warranty_notes,service_agent,department_name,location,type,price
U-MM001,NULL,NULL,NULL,NULL,1983-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Blood Storage room 1",Biomedical,NULL
U-MM002,Fiocchetti,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Blood Storage room 1",Biomedical,NULL
U-MM003,"180 Series Water Bath",208837-29,NULL,ICAP,NULL,NULL,NULL,NULL,Sanas,"MMH Laboratory","Blood Transfusion Lab 1",Biomedical,NULL
U-MM004,AX-CNO,008,2004,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Blood Transfusion Lab 1",Biomedical,NULL
U-MM005,CX21FSI,8B11527,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Processing Room 1",Biomedical,NULL
U-MM006,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Processing Room 1",Biomedical,NULL
U-MM007,"HB 201+",1012013254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Blood Transfusion Lab 1",Biomedical,NULL
U-MM008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM010,"Rotofix 32",003416702-00,2006,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM011,R75,NULL,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM012,CX21FSI,4A01209,NULL,NULL,2007-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM013,"MN 120",02-0500,2009,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM014,Heraeus,NULL,NULL,ICAP,2009-01-01,NULL,NULL,NULL,Sanas,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM015,"Heraeus B6200",51015772,NULL,NULL,NULL,NULL,NULL,NULL,Sanas,"MMH Laboratory","Microbiology 2",Biomedical,NULL
